trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-142.5273290233184,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-125.33382813868731,"{0: 23, 1: 5, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-173.67175195388504,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-166.32133749035083,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-144.69979110834402,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-103.74663516022854,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-133.11405850953466,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-91.07883316978045,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-39.19498045843994,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-43.62373081493556,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,8.08973500087144,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-85.04000518200061,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-29.86940655698706,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-33.7907443143658,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-14.711641173701317,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,11.519279672198913,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,21,17.73510079293209,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-8.517273726302797,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,26.68587644617958,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,21.295295506837945,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,30.339329967452517,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,10,35.615879176556746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,20.749755491023866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,14,-27.832494602461303,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,6,23.864816643401234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,23,14.114701602886248,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,1,31.0179357154668,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,1,28.698046466400545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,-30.2228399784949,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,23.645145453512573,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
