trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.5}",30,0,-296.3350653550176,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 5}",0
2,False,"{'a': 1.0, 'e': 0.3333333333333333}",20,0,-167.03753408884668,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 1.0, 'e': 0.25}",20,0,-41.35394143875847,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 1.0, 'e': 0.2}",20,15,6.60592141370015,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 1.0, 'e': 0.16666666666666666}",20,0,10.65385916281293,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 1.0, 'e': 0.14285714285714285}",30,0,-123.7471749419604,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 1.0, 'e': 0.125}",20,0,-24.3774925760495,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
8,False,"{'a': 1.0, 'e': 0.1111111111111111}",20,0,-15.356666882692787,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 1.0, 'e': 0.1}",20,0,19.868115227223694,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 1.0, 'e': 0.09090909090909091}",25,0,-50.92090718540649,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 1.0, 'e': 0.08333333333333333}",25,0,1.833360673639577,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 1.0, 'e': 0.07692307692307693}",20,7,-11.029784703046404,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 1.0, 'e': 0.07142857142857142}",30,16,1.0576136755192604,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 1.0, 'e': 0.06666666666666667}",20,3,-37.940441703121934,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 1.0, 'e': 0.0625}",20,10,-3.9214925203198243,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 1.0, 'e': 0.058823529411764705}",30,7,-41.83258991744874,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 1.0, 'e': 0.05555555555555555}",20,7,4.148874917332996,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 1.0, 'e': 0.05263157894736842}",25,0,-12.137794194341227,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 1.0, 'e': 0.05}",20,0,2.218049859250522,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 1.0, 'e': 0.047619047619047616}",25,4,28.42533102366569,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 1.0, 'e': 0.045454545454545456}",30,6,15.830403862308522,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 1.0, 'e': 0.043478260869565216}",25,7,22.70257541958718,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
