trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.35440854999376,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.32069023354632,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.189967251087495,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.75523169398608,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.18413701634599,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.5945258197672,"{0: 11, 1: 6, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.11387838244514,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.98390669965266,"{0: 13, 1: 6, 2: 1, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.10619697601241,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.59892765231166,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.29008855217907,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.96090530578766,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.87751174278286,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,9,-109.5655966991644,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.2882092490579,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.224795474001,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-320.77391930272677,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.40566923917586,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.84192125238292,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.86338658311894,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.6533779132797,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.47532449110612,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.54493670115565,"{0: 14, 1: 8, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,1,-79.38691876714779,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
